Current Time (ns), Interval (ns)
1780070273910566603, 998526
1780070273911566481, 999878
1780070273912566680, 1000199
1780070273913567551, 1000871
1780070273914567780, 1000229
1780070273915567508, 999728
1780070273916567396, 999888
1780070273917566733, 999337
1780070273918566872, 1000139
1780070273919568544, 1001672
1780070273920567220, 998676
1780070273921567289, 1000069
1780070273922559232, 991943
1780070273923564200, 1004968
1780070273924566383, 1002183
1780070273925561492, 995109
1780070273926564797, 1003305
1780070273927565076, 1000279
1780070273928564103, 999027
1780070273929564863, 1000760
1780070273930567787, 1002924
1780070273931565902, 998115
1780070273932564388, 998486
1780070273933564657, 1000269
1780070273934566539, 1001882
1780070273935565566, 999027
1780070273936564903, 999337
1780070273937564211, 999308
1780070273938564429, 1000218
1780070273939566091, 1001662
1780070273940564457, 998366
1780070273941565648, 1001191
1780070273942561388, 995740
1780070273943565194, 1003806
1780070273944564761, 999567
1780070273945565672, 1000911
1780070273946562645, 996973
1780070273947564226, 1001581
1780070273948564445, 1000219
1780070273949563152, 998707
1780070273950566907, 1003755
1780070273951568278, 1001371
1780070273952566944, 998666
1780070273953568456, 1001512
1780070273954566691, 998235
1780070273955567972, 1001281
1780070273956565436, 997464
1780070273957566977, 1001541
1780070273958566986, 1000009
1780070273959568357, 1001371
1780070273960566472, 998115
1780070273961567052, 1000580
1780070273962568233, 1001181
1780070273963567570, 999337
1780070273964567057, 999487
1780070273965792825, 1225768
1780070273966569486, 776661
1780070273968793282, 2223796
1780070273968919307, 126025
1780070273969565104, 645797
1780070273970564391, 999287
1780070273971564300, 999909
1780070273972563387, 999087
1780070273973558616, 995229
1780070273974563434, 1004818
1780070273975565807, 1002373
1780070273976567348, 1001541
1780070273977566135, 998787
1780070273978566243, 1000108
1780070273979565911, 999668
1780070273980565589, 999678
1780070273981565698, 1000109
1780070273982565216, 999518
1780070273983564954, 999738
1780070273984565594, 1000640
1780070273985565803, 1000209
1780070273986565791, 999988
1780070273987565780, 999989
1780070273988565758, 999978
1780070273989564865, 999107
1780070273990564804, 999939
1780070273991565654, 1000850
1780070273992560914, 995260
