Current Time (ns), Interval (ns)
1780296650574449208, 1001897
1780296650575448732, 999524
1780296650576448707, 999975
1780296650577598469, 1149762
1780296650578449934, 851465
1780296650579449317, 999383
1780296650580448768, 999451
1780296650581450021, 1001253
1780296650582449678, 999657
1780296650583454445, 1004767
1780296650584446082, 991637
1780296650585598269, 1152187
1780296650586446073, 847804
1780296650587448351, 1002278
1780296650588451713, 1003362
1780296650589448166, 996453
1780296650590448491, 1000325
1780296650591448854, 1000363
1780296650592443527, 994673
1780296650593596988, 1153461
1780296650594433165, 836177
1780296650595448859, 1015694
1780296650596449178, 1000319
1780296650597449370, 1000192
1780296650598449506, 1000136
1780296650599452084, 1002578
1780296650600431511, 979427
1780296650601445815, 1014304
1780296650602449573, 1003758
1780296650603451636, 1002063
1780296650604451422, 999786
1780296650605446380, 994958
1780296650606449892, 1003512
1780296650607447138, 997246
1780296650608451466, 1004328
1780296650609448955, 997489
1780296650610452840, 1003885
1780296650611448891, 996051
1780296650612447337, 998446
1780296650613448829, 1001492
1780296650614446178, 997349
1780296650615451191, 1005013
1780296650616447336, 996145
1780296650617454657, 1007321
1780296650618446687, 992030
1780296650619450444, 1003757
1780296650620451149, 1000705
1780296650621448605, 997456
1780296650622449482, 1000877
1780296650623445656, 996174
1780296650624443756, 998100
1780296650625594390, 1150634
1780296650626449427, 855037
1780296650627449534, 1000107
1780296650628448474, 998940
1780296650629448417, 999943
1780296650630448348, 999931
1780296650631452058, 1003710
1780296650632446802, 994744
1780296650633440294, 993492
1780296650634447630, 1007336
1780296650635450548, 1002918
1780296650636450466, 999918
1780296650637447010, 996544
1780296650638447169, 1000159
1780296650639448714, 1001545
1780296650640450490, 1001776
1780296650641448862, 998372
1780296650642452378, 1003516
1780296650643448133, 995755
1780296650644447422, 999289
1780296650645598660, 1151238
1780296650646449852, 851192
1780296650647453458, 1003606
1780296650648447748, 994290
1780296650649445074, 997326
1780296650650445813, 1000739
1780296650651449393, 1003580
1780296650652450074, 1000681
1780296650653449167, 999093
1780296650654450264, 1001097
1780296650655448620, 998356
1780296650656449630, 1001010
1780296650657447919, 998289
